time,total energy,kinectic,gravitational
2.52577,2803.2,1095.21,-490.902
2.53132,2803.08,1098.6,-494.325
2.53688,2802.96,1102.05,-497.808
2.54243,2802.84,1105.57,-501.349
2.54799,2802.72,1109.14,-504.95
2.55354,2802.6,1112.77,-508.611
2.5591,2802.48,1116.46,-512.331
2.56466,2802.36,1120.21,-516.11
2.57021,2802.25,1124.02,-519.949
2.57577,2802.13,1127.89,-523.847
2.58132,2802.01,1131.81,-527.805
2.58688,2801.89,1135.8,-531.822
2.59244,2801.77,1139.85,-535.898
2.59799,2801.65,1143.95,-540.034
2.60355,2801.53,1148.12,-544.229
2.6091,2801.41,1152.34,-548.484
2.61466,2801.3,1156.63,-552.798
2.62022,2801.18,1160.97,-557.171
2.62577,2801.06,1165.38,-561.604
2.63133,2800.94,1169.84,-566.097
2.63688,2800.82,1174.36,-570.648
2.64244,2800.7,1178.94,-575.259
2.64799,2800.58,1183.58,-579.93
2.65355,2800.46,1188.28,-584.66
2.65911,2800.34,1193.04,-589.449
2.66466,2800.23,1197.86,-594.298
2.67022,2800.11,1202.74,-599.206
2.67577,2799.99,1207.68,-604.174
2.68133,2799.87,1212.67,-609.201
2.68689,2799.75,1217.73,-614.287
2.69244,2799.63,1222.85,-619.433
2.698,2799.51,1228.02,-624.638
2.70355,2799.39,1233.26,-629.903
2.70911,2799.28,1238.55,-635.227
2.71467,2799.16,1243.91,-640.61
2.72022,2799.04,1249.32,-646.053
2.72578,2798.92,1254.79,-651.556
2.73133,2798.8,1260.32,-657.117
2.73689,2798.68,1265.92,-662.738
2.74244,2798.56,1271.57,-668.419
2.748,2798.44,1277.28,-674.159
2.75356,2798.32,1283.05,-679.958
2.75911,2798.21,1288.88,-685.817
2.76467,2803.12,1294.76,-686.7
2.77022,2803,1288.88,-680.841
2.77578,2802.88,1283.05,-675.042
2.78134,2802.77,1277.28,-669.302
2.78689,2802.65,1271.57,-663.622
2.79245,2802.53,1265.92,-658
2.798,2802.41,1260.32,-652.439
2.80356,2802.29,1254.79,-646.936
2.80911,2802.17,1249.32,-641.493
2.81467,2802.05,1243.91,-636.11
2.82023,2801.93,1238.55,-630.786
2.82578,2801.82,1233.26,-625.521
2.83134,2801.7,1228.02,-620.316
2.83689,2801.58,1222.85,-615.17
2.84245,2802.21,1217.73,-610.084
2.84801,2802.09,1212.67,-605.057
2.85356,2801.97,1207.68,-600.089
2.85912,2801.85,1202.74,-595.181
2.86467,2801.73,1197.86,-590.332
2.87023,2801.62,1193.04,-585.543
2.87579,2801.5,1188.28,-580.813
2.88134,2801.38,1183.58,-576.142
2.8869,2801.26,1178.94,-571.531
2.89245,2801.14,1174.36,-566.979
2.89801,2801.02,1169.84,-562.487
2.90356,2800.9,1165.38,-558.054
2.90912,2800.78,1160.97,-553.681
2.91468,2800.67,1156.63,-549.367
2.92023,2800.55,1152.34,-545.112
2.92579,2800.43,1148.12,-540.917
2.93134,2800.31,1143.95,-536.781
2.9369,2800.19,1139.85,-532.705
2.94246,2800.07,1135.8,-528.688
2.94801,2799.95,1131.81,-524.73
2.95357,2799.83,1127.89,-520.832
2.95912,2799.72,1124.02,-516.993
2.96468,2799.6,1120.21,-513.214
2.97024,2799.48,1116.46,-509.494
2.97579,2799.36,1112.77,-505.833
2.98135,2799.24,1109.14,-502.232
2.9869,2799.12,1105.57,-498.691
2.99246,2799,1102.05,-495.208
2.99801,2798.88,1098.6,-491.785
3.00357,2798.76,1095.21,-488.422
3.00913,2798.65,1091.87,-485.118
3.01468,2798.53,1088.6,-481.873
3.02024,2798.41,1085.39,-478.688
3.02579,2798.29,1082.23,-475.562
3.03135,2798.17,1079.13,-472.496
3.03691,2798.05,1076.1,-469.489
3.04246,2797.93,1073.12,-466.541
3.04802,2797.81,1070.2,-463.653
3.05357,2797.69,1067.34,-460.824
3.05913,2797.58,1064.54,-458.055
3.06469,2797.46,1061.8,-455.345
3.07024,2797.34,1059.12,-452.694
3.0758,2797.22,1056.5,-450.103
3.08135,2797.1,1053.94,-447.571
3.08691,2796.98,1051.44,-445.099
3.09246,2796.86,1049,-442.686
3.09802,2796.74,1046.61,-440.333
3.10358,2796.63,1044.29,-438.039
3.10913,2796.51,1042.03,-435.804
3.11469,2796.39,1039.82,-433.629
3.12024,2796.27,1037.68,-431.513
3.1258,2796.15,1035.59,-429.457
3.13136,2796.03,1033.56,-427.46
3.13691,2795.91,1031.6,-425.522
3.14247,2795.79,1029.69,-423.644
3.14802,2795.68,1027.84,-421.825
3.15358,2795.56,1026.05,-420.066
3.15914,2795.44,1024.32,-418.366
3.16469,2795.32,1022.65,-416.725
3.17025,2795.2,1021.04,-415.144
3.1758,2795.08,1019.49,-413.622
3.18136,2794.96,1018,-412.16
3.18691,2794.84,1016.56,-410.757
3.19247,2794.72,1015.19,-409.414
3.19803,2794.61,1013.88,-408.13
3.20358,2794.49,1012.62,-406.905
3.20914,2794.37,1011.43,-405.74
3.21469,2794.25,1010.29,-404.634
3.22025,2794.13,1009.22,-403.587
3.22581,2794.01,1008.2,-402.6
3.23136,2793.89,1007.24,-401.673
3.23692,2793.77,1006.34,-400.805
3.24247,2793.66,1005.51,-399.996
3.24803,2793.54,1004.73,-399.247
3.25358,2793.42,1004.01,-398.557
3.25914,2793.3,1003.35,-397.926
3.2647,2793.18,1002.75,-397.355
3.27025,2793.06,1002.2,-396.843
3.27581,2792.94,1001.72,-396.391
3.28136,2792.82,1001.3,-395.998
3.28692,2792.7,1000.94,-395.665
3.29248,2792.59,1000.63,-395.391
3.29803,2792.47,1000.39,-395.176
3.30359,2792.35,1000.2,-395.021
3.30914,2792.23,1000.08,-394.925
